Core,Treatment,Harvested,DateofInundation,TimeofInundation,,,,Core,Treatment,Date_Inund1,Time_Inund1,Date_Inund2,Time_Inund2,Date_Inund3,Time_Inund3,Harvested
BC2-6,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC2-4,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC3-8,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC3-9,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC3-13,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC3-15,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC3-6,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC4-1,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC4-7,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC4-11,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC4-13,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC4-10,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC12-6,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC12-10,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC12-9,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC12-7,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC12-5,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC13-15,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC13-9,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC13-7,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC13-10,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC13-3,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC14-2,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC14-5,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC14-15,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC14-14,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC14-10,ControlCore,9/13/2018,NA,NA,,,,,,,,,,,,
BC15-3,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC15-4,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC15-1,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC15-9,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
BC15-14,ControlCore,9/6/2018,NA,NA,,,,,,,,,,,,
